gi|38704121|ref|NP_311708.2|	hypothetical protein ECs3681	ECs3681	NA
gi|15834469|ref|NP_313242.1|	anaerobic ribonucleoside triphosphate reductase	ECs5215	NA
gi|38703917|ref|NP_309280.2|	hypothetical protein ECs1253	ECs1253	NA
gi|38703916|ref|NP_309279.2|	transporter	ECs1252	NA
gi|38703915|ref|NP_309245.2|	hypothetical protein ECs1218	ECs1218	NA
gi|38703914|ref|NP_309238.2|	hypothetical protein ECs1211	ECs1211	NA
gi|38703913|ref|NP_309165.2|	phosphotyrosine-protein phosphatase	ECs1138	etp
gi|38703912|ref|NP_309139.2|	minor tail protein	ECs1112	NA
gi|38703911|ref|NP_944588.1|	hypothetical protein ECs5406	ECs5406	NA
gi|38703910|ref|NP_309109.2|	hypothetical protein ECs1082	ECs1082	NA
gi|15831378|ref|NP_310151.1|	aldolase	ECs2124	NA
gi|15831379|ref|NP_310152.1|	autoinducer-2 (AI-2) modifying protein LsrG	ECs2125	NA
gi|38703919|ref|NP_309285.2|	hypothetical protein ECs1258	ECs1258	NA
gi|38703918|ref|NP_309284.2|	synthetase	ECs1257	NA
gi|15834224|ref|NP_312997.1|	hypothetical protein ECs4970	ECs4970	NA
gi|15833905|ref|NP_312678.1|	membrane/transport protein	ECs4651	NA
gi|15834556|ref|NP_313329.1|	regulator	ECs5302	NA
gi|15833463|ref|NP_312236.1|	hypothetical protein ECs4209	ECs4209	NA
gi|15833904|ref|NP_312677.1|	hypothetical protein ECs4650	ECs4650	NA
gi|15833907|ref|NP_312680.1|	hypothetical protein ECs4653	ECs4653	NA
gi|15833585|ref|NP_312358.1|	surfactin synthetase	ECs4331	NA
gi|15833783|ref|NP_312556.1|	glutamate transport protein	ECs4529	NA
gi|15833782|ref|NP_312555.1|	hypothetical protein ECs4528	ECs4528	NA
gi|15833781|ref|NP_312554.1|	ATP-dependent DNA helicase RecG	ECs4527	NA
gi|15833780|ref|NP_312553.1|	tRNA guanosine-2'-O-methyltransferase	ECs4526	NA
gi|15833786|ref|NP_312559.1|	alpha-xylosidase	ECs4532	NA
gi|15833549|ref|NP_312322.1|	glycerophosphodiester phosphodiesterase	ECs4295	ugpQ
gi|15833784|ref|NP_312557.1|	transporter	ECs4530	NA
gi|15833901|ref|NP_312674.1|	multidrug efflux system protein MdtL	ECs4647	NA
gi|15833789|ref|NP_312562.1|	hypothetical protein ECs4535	ECs4535	NA
gi|15833788|ref|NP_312561.1|	integrase	ECs4534	NA
gi|15833900|ref|NP_312673.1|	tryptophan permease TnaB	ECs4646	NA
gi|15832418|ref|NP_311191.1|	NADH dehydrogenase subunit J	ECs3164	NA
gi|15832419|ref|NP_311192.1|	NADH dehydrogenase subunit I	ECs3165	NA
gi|15833143|ref|NP_311916.1|	biopolymer transport protein ExbD	ECs3889	NA
gi|15833142|ref|NP_311915.1|	hypothetical protein ECs3888	ECs3888	NA
gi|15833145|ref|NP_311918.1|	hypothetical protein ECs3891	ECs3891	NA
gi|15833144|ref|NP_311917.1|	biopolymer transport protein ExbB	ECs3890	NA
gi|15833147|ref|NP_311920.1|	hypothetical protein ECs3893	ECs3893	NA
gi|15833146|ref|NP_311919.1|	cystathionine beta-lyase	ECs3892	NA
gi|15833149|ref|NP_311922.1|	oxidoreductase	ECs3894	NA
gi|15832411|ref|NP_311184.1|	deubiquitinase	ECs3157	NA
gi|15832412|ref|NP_311185.1|	hypothetical protein ECs3158	ECs3158	NA
gi|15832413|ref|NP_311186.1|	hypothetical protein ECs3159	ECs3159	NA
gi|15832415|ref|NP_311188.1|	NADH dehydrogenase subunit M	ECs3161	NA
gi|15832416|ref|NP_311189.1|	NADH dehydrogenase subunit L	ECs3162	NA
gi|15832417|ref|NP_311190.1|	NADH dehydrogenase subunit K	ECs3163	NA
gi|15831208|ref|NP_309981.1|	hypothetical protein ECs1954	ECs1954	NA
gi|15831209|ref|NP_309982.1|	hypothetical protein ECs1955	ECs1955	NA
gi|15833548|ref|NP_312321.1|	hypothetical protein ECs4294	ECs4294	NA
gi|15832944|ref|NP_311717.1|	hypothetical protein ECs3690	ECs3690	NA
gi|15831200|ref|NP_309973.1|	hypothetical protein ECs1946	ECs1946	NA
gi|15832991|ref|NP_311764.1|	hypothetical protein ECs3737	ECs3737	NA
gi|15831202|ref|NP_309975.1|	hypothetical protein ECs1948	ECs1948	NA
gi|15831203|ref|NP_309976.1|	hypothetical protein ECs1949	ECs1949	NA
gi|15831204|ref|NP_309977.1|	hypothetical protein ECs1950	ECs1950	NA
gi|15831205|ref|NP_309978.1|	hypothetical protein ECs1951	ECs1951	NA
gi|15831206|ref|NP_309979.1|	hypothetical protein ECs1952	ECs1952	NA
gi|15831207|ref|NP_309980.1|	methyltransferase	ECs1953	NA
gi|15833461|ref|NP_312234.1|	hypothetical protein ECs4207	ECs4207	NA
gi|15831803|ref|NP_310576.1|	hypothetical protein ECs2549	ECs2549	NA
gi|15831800|ref|NP_310573.1|	hypothetical protein ECs2546	ECs2546	NA
gi|15831801|ref|NP_310574.1|	hypothetical protein ECs2547	ECs2547	NA
gi|15831806|ref|NP_310579.1|	DNA polymerase III subunit theta	ECs2552	NA
gi|15831807|ref|NP_310580.1|	hypothetical protein ECs2553	ECs2553	NA
gi|15831804|ref|NP_310577.1|	resistance protein	ECs2550	NA
gi|15831805|ref|NP_310578.1|	hypothetical protein ECs2551	ECs2551	NA
gi|162139792|ref|NP_310318.2|	hypothetical protein ECs2291	ECs2291	NA
gi|15831808|ref|NP_310581.1|	exodeoxyribonuclease X	ECs2554	NA
gi|15831809|ref|NP_310582.1|	protease 2	ECs2555	NA
gi|38704246|ref|NP_313217.2|	hypothetical protein ECs5189	ECs5189	NA
gi|38704013|ref|NP_310488.2|	transport system permease	ECs2461	NA
gi|15832775|ref|NP_311548.1|	hydroxyglutarate oxidase	ECs3521	NA
gi|15830826|ref|NP_309599.1|	peptidase T	ECs1572	NA
gi|15830825|ref|NP_309598.1|	putrescine/spermidine ABC transporter ATPase	ECs1571	potA
gi|15830824|ref|NP_309597.1|	spermidine/putrescine ABC transporter membrane protein	ECs1570	potB
gi|15830823|ref|NP_309596.1|	hypothetical protein ECs1569	ECs1569	NA
gi|15830822|ref|NP_309595.1|	hypothetical protein ECs1568	ECs1568	NA
gi|15830821|ref|NP_309594.1|	hypothetical protein ECs1567	ECs1567	NA
gi|15832772|ref|NP_311545.1|	hypothetical protein ECs3518	ECs3518	NA
gi|15834231|ref|NP_313004.1|	hypothetical protein ECs4977	ECs4977	NA
gi|15832270|ref|NP_311043.1|	ABC transporter ATP-binding protein	ECs3016	NA
gi|38704079|ref|NP_311303.2|	hypothetical protein ECs3276	ECs3276	NA
gi|15830829|ref|NP_309602.1|	DNA binding protein	ECs1575	NA
gi|15830828|ref|NP_309601.1|	integrase	ECs1574	NA
gi|15832572|ref|NP_311345.1|	detox protein	ECs3318	NA
gi|15832571|ref|NP_311344.1|	EutE	ECs3317	NA
gi|15832570|ref|NP_311343.1|	EutJ	ECs3316	NA
gi|15832577|ref|NP_311350.1|	hypothetical protein ECs3323	ECs3323	NA
gi|15832576|ref|NP_311349.1|	ethanolamine utilization protein EutQ	ECs3322	NA
gi|15832575|ref|NP_311348.1|	hypothetical protein ECs3321	ECs3321	NA
gi|15832574|ref|NP_311347.1|	phosphotransacetylase	ECs3320	eutD
gi|15832579|ref|NP_311352.1|	malic enzyme	ECs3325	NA
gi|38704012|ref|NP_310484.2|	hypothetical protein ECs2457	ECs2457	NA
gi|15833693|ref|NP_312466.1|	hypothetical protein ECs4439	ECs4439	NA
gi|15834174|ref|NP_312947.1|	uroporphyrinogen decarboxylase	ECs4920	hemE
gi|15831439|ref|NP_310212.1|	antirepressor protein	ECs2185	NA
gi|15834588|ref|NP_313361.1|	hypothetical protein ECs5334	ECs5334	NA
gi|15832684|ref|NP_311457.1|	pyridoxine 5'-phosphate synthase	ECs3430	NA
gi|162139753|ref|NP_312259.2|	shikimate kinase I	ECs4232	aroK
gi|15833291|ref|NP_312064.1|	hypothetical protein ECs4037	ECs4037	NA
gi|162139751|ref|NP_312282.2|	gluconate periplasmic binding protein	ECs4254	NA
gi|162139750|ref|NP_312313.2|	gluconate kinase	ECs4286	gntK
gi|162139757|ref|NP_311982.2|	putrescine--2-oxoglutarate aminotransferase	ECs3955	NA
gi|162139756|ref|NP_312003.2|	DNA-binding transcriptional repressor ExuR	ECs3976	NA
gi|162139755|ref|NP_312030.2|	tartronate semialdehyde reductase	ECs4003	garR
gi|15832349|ref|NP_311122.1|	nitrate reductase catalytic subunit	ECs3095	NA
gi|15830664|ref|NP_309437.1|	dehydrogenase	ECs1410	NA
gi|162139759|ref|NP_311950.2|	outer membrane channel protein	ECs3923	tolC
gi|162139758|ref|NP_311952.2|	hypothetical protein ECs3925	ECs3925	NA
gi|15833552|ref|NP_312325.1|	glycerol-3-phosphate transporter permease	ECs4298	NA
gi|15833553|ref|NP_312326.1|	glycerol-3-phosphate transporter periplasmic binding protein	ECs4299	NA
gi|15834177|ref|NP_312950.1|	transcriptional regulator HU subunit alpha	ECs4923	NA
gi|15830958|ref|NP_309731.1|	dihydroxyacetone kinase subunit DhaL	ECs1704	NA
gi|15830229|ref|NP_309002.1|	DNA translocase FtsK	ECs0975	NA
gi|15830228|ref|NP_309001.1|	leucine-responsive transcriptional regulator	ECs0974	NA
gi|15833554|ref|NP_312327.1|	hypothetical protein ECs4300	ECs4300	NA
gi|15833822|ref|NP_312595.1|	EscN	ECs4568	NA
gi|15830225|ref|NP_308998.1|	cysteine/glutathione ABC transporter membrane/ATP-binding protein	ECs0971	NA
gi|15830224|ref|NP_308997.1|	leucyl/phenylalanyl-tRNA--protein transferase	ECs0970	aat
gi|15830227|ref|NP_309000.1|	thioredoxin reductase	ECs0973	NA
gi|15830226|ref|NP_308999.1|	cysteine/glutathione ABC transporter membrane/ATP-binding protein	ECs0972	NA
gi|15830221|ref|NP_308994.1|	ATP-dependent Clp protease adaptor protein ClpS	ECs0967	clpS
gi|15830220|ref|NP_308993.1|	stationary phase/starvation inducible regulatory protein CspD	ECs0966	NA
gi|15830223|ref|NP_308996.1|	translation initiation factor IF-1	ECs0969	infA
gi|15830222|ref|NP_308995.1|	ATP-dependent Clp protease ATP-binding protein	ECs0968	clpA
gi|15834254|ref|NP_313027.1|	sorbose-permease PTS system IIC component	ECs5000	NA
gi|15834255|ref|NP_313028.1|	sorbose-permease PTS system IIB component	ECs5001	NA
gi|15834256|ref|NP_313029.1|	sorbose-permease PTS system IIA component	ECs5002	NA
gi|15834257|ref|NP_313030.1|	sorbitol-6-phosphate 2-dehydrogenase	ECs5003	NA
gi|15834250|ref|NP_313023.1|	hypothetical protein ECs4996	ECs4996	NA
gi|15834210|ref|NP_312983.1|	hypothetical protein ECs4956, partial	ECs4956	NA
gi|15834252|ref|NP_313025.1|	DNA modification protein	ECs4998	NA
gi|15833296|ref|NP_312069.1|	tryptophan permease	ECs4042	NA
gi|15834259|ref|NP_313032.1|	23S rRNA pseudouridine synthase F	ECs5005	NA
gi|15829850|ref|NP_308623.1|	fimbrial protein	ECs0596	NA
gi|15829851|ref|NP_308624.1|	transcriptional regulator FimZ	ECs0597	NA
gi|15829852|ref|NP_308625.1|	EnvY	ECs0598	NA
gi|15829853|ref|NP_308626.1|	hypothetical protein ECs0599	ECs0599	NA
gi|15829854|ref|NP_308627.1|	bacteriophage N4 receptor, outer membrane subunit	ECs0600	NA
gi|15829855|ref|NP_308628.1|	bacteriophage N4 adsorption protein B	ECs0601	nfrB
gi|15829856|ref|NP_308629.1|	H repeat-containing protein	ECs0602	NA
gi|15829857|ref|NP_308630.1|	Rhs core protein	ECs0603	NA
gi|15829858|ref|NP_308631.1|	hypothetical protein ECs0604	ECs0604	NA
gi|15829859|ref|NP_308632.1|	Rhs core protein with extension	ECs0605	NA
gi|15832342|ref|NP_311115.1|	heme exporter protein C	ECs3088	NA
gi|15832509|ref|NP_311282.1|	hypothetical protein ECs3255	ECs3255	NA
gi|15832778|ref|NP_311551.1|	gamma-aminobutyrate transporter	ECs3524	NA
gi|15834462|ref|NP_313235.1|	ABC transporter permease	ECs5208	NA
gi|15831978|ref|NP_310751.1|	minor tail protein	ECs2724	NA
gi|15832343|ref|NP_311116.1|	heme exporter protein B	ECs3089	NA
gi|15829458|ref|NP_308231.1|	transcriptional regulator	ECs0204	NA
gi|15829459|ref|NP_308232.1|	hypothetical protein ECs0205	ECs0205	NA
gi|38704017|ref|NP_310516.2|	hypothetical protein ECs2489	ECs2489	NA
gi|15829454|ref|NP_308227.1|	DL-methionine transporter permease	ECs0200	NA
gi|15829455|ref|NP_308228.1|	DL-methionine transporter ATP-binding protein	ECs0201	metN
gi|15829456|ref|NP_308229.1|	D,D-heptose 1,7-bisphosphate phosphatase	ECs0202	NA
gi|15829457|ref|NP_308230.1|	2,5-diketo-D-gluconate reductase B	ECs0203	dkgB
gi|15829450|ref|NP_308223.1|	prolyl-tRNA synthetase	ECs0196	NA
gi|15829451|ref|NP_308224.1|	hypothetical protein ECs0197	ECs0197	NA
gi|15829452|ref|NP_308225.1|	outer membrane lipoprotein	ECs0198	rcsF
gi|15829453|ref|NP_308226.1|	DL-methionine transporter substrate-binding subunit	ECs0199	metQ
gi|38704129|ref|NP_311849.2|	16S ribosomal RNA methyltransferase RsmE	ECs3822	NA
gi|15829299|ref|NP_308072.1|	electron transfer flavoprotein FixB	ECs0045	fixB
gi|15834339|ref|NP_313112.1|	phosphonate metabolism transcriptional regulator PhnF	ECs5085	NA
gi|15834338|ref|NP_313111.1|	protein PhnG	ECs5084	NA
gi|15829292|ref|NP_308065.1|	carnitine operon protein CaiE	ECs0038	NA
gi|15834336|ref|NP_313109.1|	protein PhnI	ECs5082	NA
gi|15829290|ref|NP_308063.1|	carbamoyl phosphate synthase large subunit	ECs0036	carB
gi|15834334|ref|NP_313107.1|	phosphonate C-P lyase system protein PhnK	ECs5080	phnK
gi|15829296|ref|NP_308069.1|	crotonobetainyl-CoA dehydrogenase	ECs0042	NA
gi|15829297|ref|NP_308070.1|	L-carnitine/gamma-butyrobetaine antiporter	ECs0043	NA
gi|15829294|ref|NP_308067.1|	crotonobetaine/carnitine-CoA ligase	ECs0040	caiC
gi|15829295|ref|NP_308068.1|	crotonobetainyl-CoA:carnitine CoA-transferase	ECs0041	NA
gi|15830311|ref|NP_309084.1|	hypothetical protein ECs1057	ECs1057	NA
gi|15833427|ref|NP_312200.1|	50S ribosomal protein L5	ECs4173	rplE
gi|15830313|ref|NP_309086.1|	cell division inhibition protein	ECs1059	NA
gi|15830312|ref|NP_309085.1|	hypothetical protein ECs1058	ECs1058	NA
gi|15830315|ref|NP_309088.1|	hypothetical protein ECs1061	ECs1061	NA
gi|15830314|ref|NP_309087.1|	hypothetical protein ECs1060	ECs1060	NA
gi|15830317|ref|NP_309090.1|	hypothetical protein ECs1063	ECs1063	NA
gi|15833421|ref|NP_312194.1|	50S ribosomal protein L30	ECs4167	rpmD
gi|15830319|ref|NP_309092.1|	hypothetical protein ECs1065	ECs1065	NA
gi|15832954|ref|NP_311727.1|	5-keto-4-deoxyuronate isomerase	ECs3700	NA
gi|15832957|ref|NP_311730.1|	hypothetical protein ECs3703	ECs3703	NA
gi|15832956|ref|NP_311729.1|	transporter protein	ECs3702	NA
gi|15832951|ref|NP_311724.1|	racemase	ECs3697	NA
gi|15832950|ref|NP_311723.1|	LysR family transcriptional regulator	ECs3696	NA
gi|15832953|ref|NP_311726.1|	2-deoxy-D-gluconate 3-dehydrogenase	ECs3699	NA
gi|15832952|ref|NP_311725.1|	low-affinity L-arabinose transport system proton symport protein	ECs3698	NA
gi|15833956|ref|NP_312729.1|	acetolactate synthase 2 catalytic subunit	ECs4702	NA
gi|15833957|ref|NP_312730.1|	acetolactate synthase 2 regulatory subunit	ECs4703	ilvM
gi|15832271|ref|NP_311044.1|	transport system permease	ECs3017	NA
gi|15832798|ref|NP_311571.1|	hypothetical protein ECs3544	ECs3544	NA
gi|15833952|ref|NP_312725.1|	transcriptional regulator HdfR	ECs4698	NA
gi|15833953|ref|NP_312726.1|	hypothetical protein ECs4699	ECs4699	NA
gi|15833950|ref|NP_312723.1|	transporter	ECs4696	NA
gi|15832793|ref|NP_311566.1|	ribonucleotide-diphosphate reductase subunit beta	ECs3539	nrdF
gi|15832792|ref|NP_311565.1|	ribonucleotide-diphosphate reductase subunit alpha	ECs3538	NA
gi|15832791|ref|NP_311564.1|	ribonucleotide reductase stimulatory protein	ECs3537	nrdI
gi|15832790|ref|NP_311563.1|	glutaredoxin-like protein	ECs3536	NA
gi|15832797|ref|NP_311570.1|	transporter	ECs3543	NA
gi|15832796|ref|NP_311569.1|	glycine betaine transporter periplasmic subunit	ECs3542	proX
gi|15832795|ref|NP_311568.1|	glycine betaine transporter membrane protein	ECs3541	NA
gi|15832794|ref|NP_311567.1|	glycine betaine transporter ATP-binding protein	ECs3540	NA
gi|15829708|ref|NP_308481.1|	hypothetical protein ECs0454	ECs0454	NA
gi|10955318|ref|NP_052659.1|	plasmid SOS inhibition protein A	pO157p52	psiA
gi|10955319|ref|NP_052660.1|	small toxic polypeptide	pO157p53	parB
gi|15829709|ref|NP_308482.1|	ACP phosphodieterase	ECs0455	NA
gi|10955312|ref|NP_052653.1|	hypothetical protein pO157p46	pO157p46	NA
gi|10955313|ref|NP_052654.1|	hypothetical protein pO157p47	pO157p47	NA
gi|10955310|ref|NP_052651.1|	hypothetical protein pO157p44	pO157p44	NA
gi|10955311|ref|NP_052652.1|	hypothetical protein pO157p45	pO157p45	NA
gi|10955316|ref|NP_052657.1|	hypothetical protein pO157p50	pO157p50	NA
gi|10955317|ref|NP_052658.1|	plasmid SOS inhibition protein B	pO157p51	psiB
gi|10955314|ref|NP_052655.1|	hypothetical protein pO157p48	pO157p48	NA
gi|10955315|ref|NP_052656.1|	single-stranded DNA-binding protein	pO157p49	ssb
gi|15831330|ref|NP_310103.1|	outer membrane porin protein	ECs2076	NA
gi|15833468|ref|NP_312241.1|	peptidyl-prolyl cis-trans isomerase A	ECs4214	NA
gi|15830038|ref|NP_308811.1|	aldose 1-epimerase	ECs0784	galM
gi|15830039|ref|NP_308812.1|	galactokinase	ECs0785	NA
gi|15833261|ref|NP_312034.1|	regulator PrlF	ECs4007	NA
gi|15830034|ref|NP_308807.1|	zinc transporter ZitB	ECs0780	NA
gi|15830035|ref|NP_308808.1|	homeobox protein	ECs0781	NA
gi|15830036|ref|NP_308809.1|	phospho-2-dehydro-3-deoxyheptonate aldolase	ECs0782	NA
gi|15830037|ref|NP_308810.1|	phosphoglyceromutase	ECs0783	gpmA
gi|15830030|ref|NP_308803.1|	peptidoglycan-associated outer membrane lipoprotein	ECs0776	NA
gi|15830031|ref|NP_308804.1|	tol-pal system protein YbgF	ECs0777	NA
gi|15830032|ref|NP_308805.1|	quinolinate synthetase	ECs0778	NA
gi|15830033|ref|NP_308806.1|	protein PnuC	ECs0779	NA
gi|15834023|ref|NP_312796.1|	DNase TatD	ECs4769	NA
gi|15831486|ref|NP_310259.1|	outer membrane protein	ECs2232	NA
gi|15834021|ref|NP_312794.1|	sec-independent translocase	ECs4767	NA
gi|15831333|ref|NP_310106.1|	nitrate-inducible formate dehydrogenase-N iron-sulfur beta subunit	ECs2079	NA
gi|15834027|ref|NP_312800.1|	3-ketoacyl-CoA thiolase	ECs4773	fadA
gi|15834026|ref|NP_312799.1|	FMN reductase	ECs4772	fre
gi|15832898|ref|NP_311671.1|	GDP/GTP pyrophosphokinase	ECs3644	relA
gi|15831955|ref|NP_310728.1|	hypothetical protein ECs2701	ECs2701	NA
gi|15834172|ref|NP_312945.1|	anti-RNA polymerase sigma 70 factor	ECs4918	NA
gi|15831334|ref|NP_310107.1|	formate dehydrogenase-N subunit gamma	ECs2080	NA
gi|15831574|ref|NP_310347.1|	hypothetical protein ECs2320	ECs2320	NA
gi|15834028|ref|NP_312801.1|	multifunctional fatty acid oxidation complex subunit alpha	ECs4774	fadB
gi|15831572|ref|NP_310345.1|	fumarase A	ECs2318	NA
gi|15831484|ref|NP_310257.1|	hypothetical protein ECs2230	ECs2230	NA
gi|15831570|ref|NP_310343.1|	DNA replication terminus site-binding protein	ECs2316	NA
gi|15831571|ref|NP_310344.1|	fumarate hydratase	ECs2317	fumC
gi|15834400|ref|NP_313173.1|	DNA mismatch repair protein	ECs5146	mutL
gi|15831485|ref|NP_310258.1|	tail fiber protein	ECs2231	NA
gi|15831784|ref|NP_310557.1|	hypothetical protein ECs2530	ECs2530	NA
gi|15831950|ref|NP_310723.1|	hypothetical protein ECs2696	ECs2696	NA
gi|15834215|ref|NP_312988.1|	transcriptional regulator	ECs4961	NA
gi|15830662|ref|NP_309435.1|	hypothetical protein ECs1408	ECs1408	NA
gi|15831787|ref|NP_310560.1|	cold shock-like protein CspC	ECs2533	NA
gi|15831483|ref|NP_310256.1|	hypothetical protein ECs2229	ECs2229	NA
gi|15831786|ref|NP_310559.1|	23S rRNA methyltransferase	ECs2532	rrmA
gi|15831480|ref|NP_310253.1|	hypothetical protein ECs2226	ECs2226	NA
gi|15833828|ref|NP_312601.1|	SepD	ECs4574	NA
gi|15831581|ref|NP_310354.1|	7-alpha-hydroxysteroid dehydrogenase	ECs2327	NA
gi|15831953|ref|NP_310726.1|	DNA cytosine methylase	ECs2699	NA
gi|15833619|ref|NP_312392.1|	low-affinity phosphate transport protein	ECs4365	NA
gi|15831780|ref|NP_310553.1|	hypothetical protein ECs2526	ECs2526	NA
gi|15830782|ref|NP_309555.1|	hypothetical protein ECs1528	ECs1528	NA
gi|15830783|ref|NP_309556.1|	hypothetical protein ECs1529	ECs1529	NA
gi|15830780|ref|NP_309553.1|	hypothetical protein ECs1525	ECs1525	NA
gi|15830781|ref|NP_309554.1|	hypothetical protein ECs1527	ECs1527	NA
gi|15830786|ref|NP_309559.1|	endolysin	ECs1532	NA
gi|15829706|ref|NP_308479.1|	permease	ECs0452	proY
gi|10955268|ref|NP_052609.1|	EtpD	pO157p03	etpD
gi|10955269|ref|NP_052610.1|	EtpE	pO157p04	etpE
gi|10955267|ref|NP_052608.1|	EtpC	pO157p02	etpC
gi|10955264|ref|NP_052605.1|	hypothetical protein pOSAK1_02	pOSAK1_02	NA
gi|10955265|ref|NP_052606.1|	hypothetical protein pOSAK1_03	pOSAK1_03	NA
gi|10955263|ref|NP_052604.1|	plasmid mobilization	pOSAK1_01	mobA
gi|15830140|ref|NP_308913.1|	hypothetical protein ECs0886	ECs0886	NA
gi|15830141|ref|NP_308914.1|	glutamine ABC transporter ATP-binding protein	ECs0887	glnQ
gi|15830142|ref|NP_308915.1|	glutamine ABC transporter permease	ECs0888	glnP
gi|15830143|ref|NP_308916.1|	glutamine ABC transporter periplasmic protein	ECs0889	glnH
gi|15830144|ref|NP_308917.1|	DNA starvation/stationary phase protection protein Dps	ECs0890	NA
gi|15830145|ref|NP_308918.1|	threonine and homoserine efflux system	ECs0891	NA
gi|15830146|ref|NP_308919.1|	outer membrane protein X	ECs0892	ompX
gi|15830147|ref|NP_308920.1|	hypothetical protein ECs0893	ECs0893	NA
gi|15830148|ref|NP_308921.1|	manganese transport regulator MntR	ECs0894	NA
gi|15830149|ref|NP_308922.1|	hypothetical protein ECs0895	ECs0895	NA
gi|162139805|ref|NP_308695.2|	lipoate-protein ligase B	ECs0668	lipB
gi|162139804|ref|NP_308826.2|	hypothetical protein ECs0799	ECs0799	NA
gi|162139803|ref|NP_309074.2|	methylglyoxal synthase	ECs1047	mgsA
gi|162139802|ref|NP_309175.2|	hybrid sensory histidine kinase TorS	ECs1148	NA
gi|162139801|ref|NP_309492.2|	Maf-like protein	ECs1465	maf
gi|162139800|ref|NP_309495.2|	glycerol-3-phosphate acyltransferase PlsX	ECs1468	NA
gi|38704243|ref|NP_313196.2|	PTS system ascorbate-specific transporter subunit IIC	ECs5169	ulaA
gi|15834505|ref|NP_313278.1|	hypothetical protein ECs5251	ECs5251	NA
gi|15834357|ref|NP_313130.1|	hypothetical protein ECs5103	ECs5103	NA
gi|15831587|ref|NP_310360.1|	beta-lactam resistance protein	ECs2333	NA
gi|15834356|ref|NP_313129.1|	melibiose:sodium symporter	ECs5102	NA
gi|15834387|ref|NP_313160.1|	fumarate reductase subunit C	ECs5133	NA
gi|15833980|ref|NP_312753.1|	4-alpha-L-fucosyltransferase	ECs4726	NA
gi|15831430|ref|NP_310203.1|	minor capsid protein	ECs2176	NA
gi|38704123|ref|NP_311765.2|	lipoprotein	ECs3738	NA
gi|15832179|ref|NP_310952.1|	regulator	ECs2925	NA
gi|15832174|ref|NP_310947.1|	methionyl-tRNA synthetase	ECs2920	metG
gi|15834045|ref|NP_312818.1|	nitrogen regulation protein NR(II)	ECs4791	glnL
gi|15832172|ref|NP_310945.1|	hypothetical protein ECs2918	ECs2918	NA
gi|15832171|ref|NP_310944.1|	fimbrial-like protein	ECs2917	NA
gi|15832170|ref|NP_310943.1|	chaperone	ECs2916	NA
gi|15833403|ref|NP_312176.1|	hypothetical protein ECs4149	ECs4149	NA
gi|15833556|ref|NP_312329.1|	leucine/isoleucine/valine transporter ATP-binding protein	ECs4302	livG
gi|15831149|ref|NP_309922.1|	hypothetical protein ECs1895	ECs1895	NA
